,date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue,previous_7,previous_14,previous_28,previous_70,previous_year,recent_invoices,recent_views,next_months_revenue,country
0,2017-11-01,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
1,2017-11-02,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
2,2017-11-03,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
3,2017-11-04,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
4,2017-11-05,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
5,2017-11-06,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
6,2017-11-07,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
7,2017-11-08,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
8,2017-11-09,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
9,2017-11-10,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
10,2017-11-11,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
11,2017-11-12,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
12,2017-11-13,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
13,2017-11-14,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
14,2017-11-15,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
15,2017-11-16,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
16,2017-11-17,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
17,2017-11-18,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
18,2017-11-19,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
19,2017-11-20,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
20,2017-11-21,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
21,2017-11-22,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
22,2017-11-23,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
23,2017-11-24,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
24,2017-11-25,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
25,2017-11-26,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
26,2017-11-27,0.0,0.0,0.0,0.0,2017-11,0.0,,,,,,,,,United Kingdom
27,2017-11-28,2953.0,154.0,1291.0,12922.0,2017-11,13281.120000000003,,,,,,,,,United Kingdom
28,2017-11-29,3217.0,125.0,1389.0,13650.0,2017-11,13222.970000000001,13281.120000000003,13281.120000000003,13281.120000000003,13281.120000000003,0.0,5.5,461.5,173959.95,United Kingdom
29,2017-11-30,2911.0,144.0,1318.0,15243.0,2017-11,12941.5,26504.090000000004,26504.090000000004,26504.090000000004,26504.090000000004,0.0,9.620689655172415,916.2758620689655,160736.98,United Kingdom
30,2017-12-01,2443.0,100.0,1221.0,11652.0,2017-12,9163.07,39445.590000000004,39445.590000000004,39445.590000000004,39445.590000000004,0.0,14.1,1393.8333333333333,147795.48000000004,United Kingdom
31,2017-12-02,370.0,31.0,263.0,3101.0,2017-12,1263.28,48608.66,48608.66,48608.66,48608.66,0.0,17.433333333333334,1782.2333333333333,138632.41000000003,United Kingdom
32,2017-12-03,1888.0,87.0,964.0,8096.0,2017-12,6229.110000000001,49871.94,49871.94,49871.94,49871.94,0.0,18.466666666666665,1885.6,139305.39,United Kingdom
33,2017-12-04,2684.0,110.0,1301.0,11202.0,2017-12,12189.79,56101.05,56101.05,56101.05,56101.05,0.0,21.366666666666667,2155.4666666666667,136137.55000000002,United Kingdom
34,2017-12-05,2283.0,157.0,1151.0,11906.0,2017-12,8892.27,68290.84,68290.84,68290.84,68290.84,0.0,25.033333333333335,2528.866666666667,124913.61000000002,United Kingdom
35,2017-12-06,2423.0,108.0,1292.0,10071.0,2017-12,10886.990000000002,63901.990000000005,77183.11,77183.11,77183.11,0.0,30.266666666666666,2925.733333333333,118798.36000000002,United Kingdom
